Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C103, C104, C109",0603,5,0.1uF,
C105,0603,1,4.7uF,
"C106, C107",0603,2,22pF,
C108,0603,1,1uF,
"D101, D102, D103, D104, D105, D106, D107, D108, D109, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D120, D121",0603,21,D,
"D122, D123",0603,2,GREEN,
"H101, H102, H103, H104, H105",MountingHole_2.2mm_M2_Pad_TopBottom,5,MountingHole_Pad,
J101,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_2.0,
"R101, R102",0603,2,10k,
"R103, R104",0603,2,5.1k,
"R105, R106",0603,2,22,
"R107, R108",0603,2,1k,
S101,SW_Push_1P1T_XKB_TS-1187A,1,reset_sw,
SW101,SW_Cherry_MX_1.00u_PCB,1,ESC,
SW102,SW_Cherry_MX_1.00u_PCB,1,Q,
SW103,SW_Cherry_MX_1.00u_PCB,1,W,
SW104,SW_Cherry_MX_1.00u_PCB,1,E,
SW105,SW_Cherry_MX_1.00u_PCB,1,R,
SW106,SW_Cherry_MX_1.00u_PCB,1,T,
SW107,SW_Cherry_MX_1.00u_PCB,1,CTRL,
SW108,SW_Cherry_MX_1.00u_PCB,1,A,
SW109,SW_Cherry_MX_1.00u_PCB,1,S,
SW110,SW_Cherry_MX_1.00u_PCB,1,D,
SW111,SW_Cherry_MX_1.00u_PCB,1,F,
SW112,SW_Cherry_MX_1.00u_PCB,1,G,
SW113,SW_Cherry_MX_1.00u_PCB,1,SHIFT,
SW114,SW_Cherry_MX_1.00u_PCB,1,Z,
SW115,SW_Cherry_MX_1.00u_PCB,1,X,
SW116,SW_Cherry_MX_1.00u_PCB,1,C,
SW117,SW_Cherry_MX_1.00u_PCB,1,V,
SW118,SW_Cherry_MX_1.00u_PCB,1,B,
SW119,SW_Cherry_MX_1.00u_PCB,1,FN,
SW120,SW_Cherry_MX_1.00u_PCB,1,SPACE,
SW121,SW_Cherry_MX_1.75u_PCB,1,ENTER,
U101,TQFP-44_10x10mm_P0.8mm,1,ATmega32U4,
Y101,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,16 MHz,
